Schema item,Kind,Data type,Extends,Restricts,Abstract,Subst Group,Comment,Namespace
DigitalPrintingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
DigitalPrintingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
DigitalPrintingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
DigitalPrintingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
Disjointing_re,global complexType,,jdf:ResourceElement,,,,"",JDFResource.xsd
DisjointingAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
DisjointingAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
DisplayGroup,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
DisplayGroupPool,global complexType,,jdf:BaseElement_,,,,"",JDFCapability.xsd
Disposition_re,global complexType,,jdf:ResourceElement,,,,"",JDFResource.xsd
DispositionAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
DispositionAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
Dividing,global complexType,,jdf:JDFAbstractNode,,,,"",JDFProcess.xsd
DividingParams,global element,jdf:DividingParams_r,,,,jdf:Resource,"",JDFResource.xsd
DividingParams_r,global complexType,,jdf:ParameterResource,,,,"",JDFResource.xsd
DividingParams_re,global complexType,,jdf:ParameterResourceElement,,,,"",JDFResource.xsd
DividingParams_rp,global complexType,,jdf:ParameterResourceLeaf,,,,"",JDFResource.xsd
DividingParamsAttribs_c,global attributeGroup,,,,,,"",JDFResource.xsd
DividingParamsAttribs_r,global attributeGroup,,,,,,"",JDFResource.xsd
DividingParamsAttribs_u,global attributeGroup,,,,,,"",JDFResource.xsd
DividingParamsLink,global element,jdf:ParameterLink,,,,jdf:ResourceLink,"",JDFResource.xsd
DividingResLinkPool_,global complexType,,jdf:ResourceLinkPool_,,,,"",JDFProcess.xsd
DocumentProperties,global attributeGroup,,,,,,"",JDFResource.xsd
double,global simpleType,xs:double,,,,,"",JDFTypes.xsd
DoubleAndSeparator_,global simpleType,,,,,,"",JDFTypes.xsd
DoubleAndSeparators_,global simpleType,,,,,,"",JDFTypes.xsd
DoubleList,global simpleType,,,,,,"",JDFTypes.xsd
DoubleRange,global simpleType,jdftyp:DoubleAndSeparators_,,,,,"",JDFTypes.xsd
DoubleRangeList,global simpleType,jdftyp:DoubleAndSeparators_,,,,,"",JDFTypes.xsd
duration,global simpleType,,,,,,"",JDFTypes.xsd
DurationAndSeparator_,global simpleType,,,,,,"",JDFTypes.xsd
DurationAndSeparators_,global simpleType,,,,,,"",JDFTypes.xsd
DurationEvaluation,global complexType,,jdf:AbstractEvaluation,,,,"",JDFCapability.xsd
